exp,cate_var_in,cate_var_out,y_var_in,TARNet_in,PairNet_in,TARNet_out,PairNet_out
1,0.027998891336374197,0.02625824970089189,1.4811982640122123,1.1004039,1.0971305,1.1351417,1.131864
2,0.02776348695435049,0.028780339376436936,1.4804441433160405,1.1025807,1.0907745,1.1358938,1.1240846
3,0.028568792628753552,0.029203502923530647,1.4832528298183552,1.1006616,1.0634089,1.1338125,1.0965421
4,0.027903656865441877,0.028992873324601574,1.4793246662047164,1.1036127,1.0923194,1.1472224,1.1359242
5,0.026886481146361715,0.028513895070506123,1.4847973535299324,1.1084082,1.12345,1.1493071,1.1643509
6,0.027169771149622053,0.027610544041558924,1.481872396406263,1.102417,1.0721465,1.144348,1.1140566
7,0.028020650856643545,0.0288293262027248,1.48417081940242,1.1106588,1.114279,1.1474926,1.1511143
8,0.026768809015578293,0.028184650158516667,1.486544525197797,1.104132,1.1596353,1.136499,1.1920052
9,0.028873331778976885,0.027711194489344514,1.4803626314893283,1.1094445,1.0959151,1.1456245,1.1320778
10,0.02641785747455119,0.029145692236556192,1.4932652943516087,1.104574,1.041692,1.1404907,1.077633
